FIC,Non_FIC
,81
,18
,6
,194
,3
,14
,42
,17
,0
,117
,88
,1
,1427
,324
,0
,8265
,4486
,32
,24
,28
,8
,4
,0
,33
,1
,1725
,868
,24
,150
,189
,1
,2
,4
,1428
,3
,1
,11
,7
,459
,2
,14
,581
,1
,1838
,4528
,954
,3
,6
,0
,5
,589
,1
,11
,7
,6
,1054
,15
,189
,1603
,2223
,44
,1511
,6
,1
,206
,1113
,5
,2
,5796
,1554
,999
,3
,5
,2
,1
,1399
,7
,19
,76
,262
,1
,8
,107
,2323
,74
,3035
,1214
,804
,1
,2
,13
,5
,1233
,1673
,1183
,5192
,72
,2791
,5028
,3079
,0
,0
,2
,7
,0
,2
,553
,2204
,70
,0
,11
,507
,0
,3
,639
,17
,282
,330
,18469
,17
,9
,5914
,6367
,30738
,10
,378
,3
,35351
,17
,17
,3
,11322
,1024
,759
,44
,2322
,4735
,9
,9941
,6356
,12
,89
,1
,3506
,6
,60
,149
,104
,8
,673
,0
,3
,335
,643
,504
,22
,6
,86
,1
,113
,20
,116
,79
,7
,0
,1
,6
,13
,8
,1330
,11
,30
,35
,1
,18
,18
,20
,1000
,1084
,1414
,3
,0
,8
,2
,686
,3030
,1420
,1
,1356
,6
,3239
,340
,0
,10
,1304
,4107
,1295
,11
,2
,784
,2
,1983
,352
,2
,2
,6
,3
,5
,397
,7
,376
,2
,1040
,108
,2596
,8
,9408
,103
,1461
,37
,0
,1283
,9
,3056
,3869
,48
,46
,177
,1093
,4681
,15
,13396
,246
,6920
,937
,25
,6
,2
,0
,3
,3
,4730
,127
,5349
,869
,4
,224
,1
,1519
,8744
,5565
,5640
,1005
,5
,1173
,26
,1631
,6015
,0
,0
,17732
,1019
,3489
,1923
,1577
,5658
,22
,13
,4
,70
,3
,7
,7
,11452
,13509
,10845
,1
,3
,2
,3
,1
,13948
,19813
,3671
,4540
,17
,624
,646
,1005
,261
,6
,34
,44
,59
,9
,154
,9
,5
,17
,0
,13
,3
,11
,9
,17
,34
,18
,10
,23
,7
,9
,3
,22
,16
,838
,27
,45
,23
,40
,8
,7
,9
,24
,56
,0
,52
,25
,0
,21
,19
,140
,1124
,5
,2
,25
,1
,34
,80
,46
,23
,7
,59
,1253
,84
,79
,1194
,150
,1
,5
,27
,1378
,4292
,3
,2
,3
,7
,17
,1092
,12
,7526
,7
,789
,9186
,174
,0
,1
,45
,4
,0
,2
,1
,14
,6
,0
,1
,5
,6
,29
,2
,0
,0
,2
,10
,3
,3
,2
,4100
,8
,5
,9
,27
,3
,11
,0
,1
,0
,1
,33
,879
,449
,964
,88
,3352
,8
,1
,15260
,4
,6312
,10
,3917
,1277
,6308
,0
,59
,7
,820
,612
,1257
,15
,35
,114
,0
,633
,716
,24
,3
,8
,11
,0
,7
,10
,12
,1
,4
,28
,1
,1
,10
,1
,45
,6
,11
,13
,9
,22
,5
