FIC,Non_FIC
1.00,1.60
2.00,1.00
2.51,2.00
1.33,1.00
3.20,1.00
3.36,3.00
1.80,2.00
2.82,2.00
9.14,7.00
2.83,1.00
3.27,12.33
4.52,1.20
4.00,5.38
2.50,4.00
3.17,1.59
3.78,2.62
2.15,2.00
3.33,3.00
2.22,2.00
1.26,4.50
3.00,3.15
3.00,4.00
3.66,11.19
3.00,2.50
1.72,3.00
1.00,1.00
2.95,1.00
2.50,1.50
3.67,1.00
1.36,15.50
4.04,3.00
1.50,3.25
3.25,7.25
5.15,3.00
5.18,4.00
3.50,6.00
10.00,1.00
6.00,1.00
1.00,1.00
5.30,2.00
1.50,9.00
2.33,4.60
4.84,5.29
1.94,15.00
1.00,2.00
1.76,1.00
12.50,3.00
4.93,1.00
3.50,2.71
7.00,4.70
1.00,2.10
1.83,3.00
7.00,1.95
1.33,2.75
4.60,1.00
2.00,3.70
2.83,4.28
2.93,3.00
2.61,3.00
3.93,4.00
7.67,5.00
9.00,5.00
3.49,1.50
2.40,1.00
2.23,1.00
3.00,2.07
2.00,7.10
2.00,5.50
1.00,1.70
5.18,2.00
7.50,1.00
5.42,3.00
3.00,6.66
4.45,1.00
2.00,2.83
2.00,3.50
5.00,1.00
2.38,1.68
4.16,6.00
2.50,17.00
2.26,6.50
7.00,7.75
6.00,1.60
2.79,4.50
5.77,1.50
3.23,2.00
3.00,3.00
2.42,1.00
8.50,3.85
7.00,14.00
2.25,3.00
6.56,1.00
5.50,3.50
1.78,2.50
3.67,2.17
3.09,7.67
5.38,2.39
2.16,2.31
2.83,1.50
5.80,7.00
2.28,3.00
1.53,2.00
2.30,1.88
1.10,4.00
4.25,2.65
8.47,1.00
2.67,4.25
3.62,1.00
1.67,30.00
8.00,3.00
1.50,3.00
2.29,5.00
8.93,11.50
7.00,1.50
2.40,2.50
2.00,2.00
4.00,7.00
1.33,14.50
5.83,2.00
11.50,6.00
23.50,8.00
3.42,4.00
6.13,5.00
5.25,1.00
1.81,1.50
1.83,3.75
14.50,1.00
3.00,3.07
3.56,2.37
5.20,24.00
6.80,2.00
6.33,1.95
9.44,2.50
1.00,2.25
5.03,2.67
1.00,1.90
3.25,1.00
2.96,6.33
3.67,1.00
1.00,1.50
2.81,2.33
6.46,3.29
4.99,3.00
1.50,2.50
4.81,1.44
1.50,1.00
2.00,2.33
3.53,2.00
1.25,4.00
6.00,1.00
1.44,1.00
3.86,3.00
5.67,2.57
5.50,1.67
3.50,2.50
1.50,3.11
1.00,1.00
4.73,2.00
17.00,1.88
1.27,1.00
6.60,2.50
9.67,1.50
3.40,4.00
6.50,5.75
3.00,1.00
1.00,1.00
4.78,1.56
2.67,9.00
4.25,2.33
28.00,1.88
4.53,3.00
4.00,1.00
1.96,1.00
5.76,1.67
1.85,1.00
3.00,4.00
3.21,6.00
5.75,3.00
6.00,1.00
1.92,1.67
1.88,1.50
2.50,17.00
5.00,2.77
1.89,1.74
1.25,1.50
12.33,4.00
4.00,1.41
22.67,2.00
3.29,2.00
7.56,5.25
1.69,7.00
6.62,1.00
3.00,2.50
5.44,2.22
3.03,3.75
4.62,2.50
1.44,1.50
6.57,1.00
4.26,1.00
4.50,4.00
2.27,1.40
3.00,2.25
1.71,4.85
2.54,3.58
1.50,1.00
2.33,2.50
2.50,2.00
2.90,3.83
3.39,2.00
3.00,3.44
4.10,2.00
