FIC,Non_FIC
,1096
,99
,18
,65
,87
,5
,55
,377
,114
,3411
,175
,862
,2
,119
,15
,0
,80
,34
,0
,40
,0
,0
,0
,0
,0
,6
,24
,177
,76
,374
,8
,73
,4
,196
,16
,223
,225
,1
,35
,1
,45
,14
,475
,29
,0
,25
,1
,118
,5
,1
,0
,0
,46
,6
,9
,2
,254
,132
,34
,201
,83
,537
,11
,5
,206
,278
,131
,30
,207
,2051
,2
,0
,2
,263
,2747
,12
,3
,0
,0
,1922
,3632
,0
,2
,3
,1
,24
,395
,0
,0
,0
,1
,10
,585
,0
,0
,0
,0
,0
,0
,0
,0
,236
,191
,306
,29
,4985
,337
,63
,0
,1
,4316
,0
,7673
,128
,3396
,1591
,39
,1332
,1
,1
,129
,3
,202
,1003
,4409
,49
,2
,589
,1
,762
,2
,53
,237
,66
,1
,7
,79
,39
,34
,2405
,172
,315
,31
,70
,196
,6
,8
,116
,61
,11
,24
,9
,2
,15
,7
,3
,1004
,372
,1
,0
,0
,0
,0
,0
,0
,0
,0
,0
,1
,0
,0
,0
,0
,0
,1114
,19
,6006
,53
,2
,50
,2822
,0
,23
,0
,10
,0
,45
,0
,11
,0
,18
,0
,15
,1
,12
,8
,1224
,8
,1063
,6
,230
,180
,0
,4
,0
,0
,0
,1105
,171
,187
,643
,5
,20
,100
,8230
,2
,1700
,1016
,19
,186
,116
,5086
,1447
,11
,22
,80
,1258
,1441
,77
,1031
,1
,92
,13
,7086
,1585
,1
,62
,51
,133
,2
,31
,2
,3696
,2176
,2
,66
,1
,51
,0
,85
,5
,14
,28
,834
,88
,1203
,2939
,10
,86
,552
,2318
,24
,235
,3866
,1
,1558
,63
,118
,53
,7
,1190
,18
,39
,121
,212
,891
,67
,295
,1388
,2705
,144
,301
,1339
,0
,9
,20
,1
,19
,4
,130
,13
,74
,304
,1051
,0
,0
,0
,0
,2
,19
,0
,1087
,0
,0
,1158
,2
,2
,243
,52
,0
,11
,5810
,10
,0
,0
,244
,1
,1
,0
,0
,390
,373
,517
,11
,878
,174
,0
,173
,0
,22
,1297
,44
,0
,301
,10
,763
,24
,4
,18
,180
,45
,0
,0
,0
,0
,0
,0
,12
,0
,16
,0
,256
,60
,18
,53
,43
,7
,12
,0
,99
,778
,0
,0
,0
,1
,0
,53
,49
,6
,35
,287
,226
,27
,7858
,4
,1049
,2099
,867
,2
,10
,4
,3039
,936
,0
,0
,11
,0
,0
,124
,1
,12
,1
,18
,0
,42
,0
,62
,1
,67
,1
,552
,77
,0
,155
,0
,32
,1
,1321
,300
,7130
,2413
,38
,1281
,18
,36
,11
,650
,4
,5
,1091
,2069
,5
,0
,0
,551
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,31
,2
,25
,52
,2
,27
,0
,0
,0
,0
,0
,0
,42
,0
,0
,6
,6
,1
,0
,0
,13
,1130
,3
,116
,52
,119
,631
,27
,3
,61
,2
,1
,17
,29
,260
,22
,4
,0
,8
,0
,45
,10
,0
,17
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,12
,0
,66
,39
,1858
,8
,749
,131
,0
,1669
,1154
,1798
,3142
,612
,0
,4
,80
,11
,14
,11
,181
,30
,1
,42
,165
,759
,1
,2
,0
,18
,3
,1
,74
,136
,67
,19
,5
,2
,6
,0
,14
,800
,3
,184
,116
,0
,37
,0
,143
,66
,970
,5
,61
,38
,128
,313
,37
,19
,811
,40
,16
,132
,28
,79
,103
,276
,0
,0
,40
,0
,36
,86
,1
,37
,7
,1
,10
,884
,544
,0
,0
,1
,53
,130
,1
,77
,0
,21
,0
,323
,42
,112
,112
,16
,1
,39
,17
,33
,28
,0
,8
,5
,20
,8
,0
,0
,0
,0
,0
,0
,5
,314
,9
,35
,0
,0
,4
,0
,0
,16
,0
,88
,32
,130
,68
,11
,4
,26
,1
,31
,83
,26
,293
,1
,529
,444
,41
,486
,72
,43
,138
,87
,53
,2
,0
,0
,12
,3
,2
,62
,0
,16
,13
,726
,47
,69
,7
,201
,344
,577
,159
,51
,49
,96
,33
,19
,0
,156
,889
,25
,1437
,4
,3
,12
,7
,3
,25
,41
,2533
,2824
,0
,227
,34
,533
,37
,29
,70
,536
,4554
,154
,13
,4
,0
,0
,228
,33
,90
,1
,974
,615
,0
,129
,1
,22
,103
,4
,85
,17
,33
,1413
,40
,168
,261
,24
,7
,10
,3
,2
,1
,4
,2
,42
,21
,0
,7
,0
,0
